onetsoc_code	title	title_nb	description	description_nb	changed
"31-2021.00"	"Physical Therapist Assistants"	"Fysioterapeutassistent"	"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with State laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training."	"Bistår fysioterapeuter i å gi fysioterapeutiske behandlinger og prosedyrer. Kan bistå i å utarbeide behandlingsplaner, utføre rutineoppgaver, dokumenterer framgangen i behandlingen og tilpasse bestemte behandlinger etter pasientens tilstand og innenfor rammene av behandlingsplanen fysioterapeuten har fastsatt. Krever som regel formell opplæring."	"2017-05-26"
"31-2022.00"	"Physical Therapist Aides"	"Pleiehjelp, fysioterapi"	"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area."	"Utfører kun tildelte, utvalgte eller rutinemessige oppgaver i bestemte situasjoner under tett oppsyn av fysioterapeuter eller assistenter. Oppgavene inkluderer å klargjøre pasienten og behandlingsområdet."	"2017-05-26"
"31-9011.00"	"Massage Therapists"	"Massasjeterapeut"	"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."	"Gir terapeutisk massasje på bløtvev og ledd. Kan bistå i vurdering av bevegelsesområde og muskelstyrke, eller foreslå terapiplaner for klienter."	"2017-05-26"
"31-9091.00"	"Dental Assistants"	"Tannlegeassistent"	"Assist dentist, set up equipment, prepare patient for treatment, and keep records."	"Assisterer tannleger, setter opp utstyr, klargjør pasienter for behandling og fører journal."	"2017-05-26"
"31-9092.00"	"Medical Assistants"	"Medisinsk assistent"	"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician."	"Utfører administrative og visse kliniske oppgaver under ledelse av en lege. Administrative oppgaver kan omfatte å avtale timer, oppdatere medisinske journaler, fakturere og kode informasjon til forsikringsformål. Kliniske oppgaver kan omfatte å sjekke og registrere vitale tegn og medisinsk historie, klargjøre pasienter for undersøkelse, ta blodprøve og gi medikamenter på instruks fra legen."	"2017-05-26"
"31-9093.00"	"Medical Equipment Preparers"	"Medisinsk utstyrstekniker"	"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."	"Klargjør, steriliserer, installerer eller rengjør laboratorie- eller helseutstyr. Kan utføre rutinemessige laboratorieoppgaver eller manøvrere og inspisere utstyr."	"2017-05-26"
"31-9094.00"	"Medical Transcriptionists"	"Medisinsk transkriptør"	"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction."	"Transkriberer medisinske rapporter tatt opp av leger eller annet helsepersonelll ved å bruke diverse elektronisk utstyr, som omfatter kontorbesøk, legevaktsbesøk, gransking av diagnostiske bilder, operasjoner, journalgjennomgang og avsluttende oppsummeringer. Transkriberer dikterte rapporter og oversetter kortformer til fullt forståelige former. Gjør nødvendig redigering og returnerer rapporter enten på papir eller elektronisk til gjennomsyn og undertegning eller retting."	"2017-05-26"
"31-9095.00"	"Pharmacy Aides"	"Apoteksassistent"	"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling."	"Registrerer medikamenter som leveres til apoteket, lagrer innkommende materiell og melder fra til leder om lagerbehov. Kan betjene kassaapparat og tar imot resepter til utfylling."	"2017-05-26"
"31-9096.00"	"Veterinary Assistants and Laboratory Animal Caretakers"	"Veterinærassistent og laboratoriedyrepleier"	"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine post-operative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists."	"Gir mat og vann og undersøker kjæledyr og andre ikke-gårdsdyr for tegn på sykdom eller skade i laboratorier og dyresykehus og -klinikker. Rengjør og desinfiserer bur og arbeidsområder og steriliserer laboratorie- og operasjonsutstyr. Kan gi rutinemessig postoperativ pleie, gi medikamenter oralt eller lokalt eller klargjøre prøver til laboratorieundersøkelser under ledelse av veterinær- eller dyretekniker på laboratoriet, veterinærer eller forskere."	"2017-05-26"
"31-9097.00"	"Phlebotomists"	"Blodprøvetaker"	"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions."	"Tar blodprøver til prøver, overføring, donering eller forskning. Kan forklare prosedyren for pasienter og hjelpe pasienter med negative reaksjoner til å komme seg."	"2017-05-26"
"31-9099.00"	"Healthcare Support Workers, All Other"	"Arbeidere innen helsestøtte, alle andre"	"All healthcare support workers not listed separately."	"Alle helseassistenter som ikke er ført opp separat."	"2017-05-26"
"31-9099.01"	"Speech-Language Pathology Assistants"	"Logopedassistent"	"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems."	"Assisterer logopeder i å vurdere og behandle tale-, språk-, stemme- eller taleflytvansker. Gjennomfører tale- og språkprogrammer eller -aktiviteter som planlagt og ledet av logopeden. Overvåker bruken av alternative kommunikasjonshjelpemidler og -systemer."	"2017-05-26"
"31-9099.02"	"Endoscopy Technicians"	"Endoskopiassistent"	"Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens."	"Opprettholder et sterilt område for å bistå leger og sykepleiere under endoskopiske operasjoner. Klargjør og vedlikeholder instrumenter og utstyr Kan innhente prøver."	"2017-05-26"
"33-1011.00"	"First-Line Supervisors of Correctional Officers"	"Førstelinjeleder for fengselsbetjenter"	"Directly supervise and coordinate activities of correctional officers and jailers."	"Er direkte leder for og samordner arbeidet for fengselsbetjenter og fangevoktere."	"2017-05-26"
"33-1012.00"	"First-Line Supervisors of Police and Detectives"	"Førstelinjeleder for politi og etterforskere"	"Directly supervise and coordinate activities of members of police force."	"Er direkte leder for og samordner arbeidet for i en politietat."	"2017-05-26"
"33-1021.00"	"First-Line Supervisors of Firefighting and Prevention Workers"	"Førstelinjeleder for brannkonstabler og brannvernere"	"Directly supervise and coordinate activities of workers engaged in fire fighting and fire prevention and control."	"Er direkte leder for og samordner arbeidet for ansatte som jobber med brannslukking og brannvern og -sikkerhet."	"2017-05-26"
"33-1091.00"	"First-Line Supervisors of Security Workers"	"Førstelinjeleder sikkerhetsarbeidere"	"Directly supervise and coordinate activities of security workers and security guards."		"2022-04-25"
"33-1099.00"	"First-Line Supervisors of Protective Service Workers, All Other"	"Førstelinjeledere for beskyttelsesarbeidere, alle andre"	"All protective service supervisors not listed separately above."	"Alle ledere for beskyttelsesarbeidere som ikke er ført opp separat ovenfor."	"2017-05-26"
"33-2011.00"	"Firefighters"	"Brannkonstabel"	"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance."	"Får kontroll på og slukker branner eller rykker ut til nødssituasjoner der liv, eiendom eller miljø står i fare. Oppgaver kan omfatte brannvern, nødhjelp, håndtering av farlige stoffer, søk og redning og hjelp ved katastrofer."	"2017-05-26"
"33-2021.00"	"Fire Inspectors and Investigators"	"Branninspektør og brannetterforsker"	"Inspect buildings to detect fire hazards and enforce local ordinances and State laws, or investigate and gather facts to determine cause of fires and explosions."	"Inspiserer bygninger for å oppdage brannfarer og håndhever lokale og nasjonale brannforskrifter, eller undersøker og samler data for å fastslå årsak til brann og eksplosjoner."	"2017-05-26"
"33-2022.00"	"Forest Fire Inspectors and Prevention Specialists"	"Inspektør og spesialist innen skogbrann og skogbrannvern"	"Enforce fire regulations, inspect forest for fire hazards and recommend forest fire prevention or control measures. May report forest fires and weather conditions."	"Håndhever brannforskrifter, undersøker skoger for brannfarer og gir anbefalinger om tiltak for forebygging eller kontroll. Kan rapportere om skogbrann- og værforhold."	"2017-05-26"
"33-3011.00"	"Bailiffs"	"Rettsbetjent"	"Maintain order in courts of law."	"Opprettholder orden i rettssaler."	"2017-05-26"
"33-3012.00"	"Correctional Officers and Jailers"	"Fengselsbetjent og fangevokter"	"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."	"Vokter innsatte i straffe- eller rehabiliteringsinstitusjoner i overensstemmelse med fastsatte regler og prosedyrer. Kan vokte innsatte som blir transportert mellom varetekt, rettssal, fengsel eller på andre tidspunkt. Inkluderer politioverbetjenter og politikonstabler som i hovedsak jobber med å vokte fanger i fengsler."	"2017-05-26"
"33-3021.00"	"Detectives and Criminal Investigators"	"Etterforsker og kriminaletterforsker"	"Conduct investigations related to suspected violations of Federal, State, or local laws to prevent or solve crimes."	"Driver etterforskning i forbindelse med mistenkte lovbrudd eller for å forhindre eller oppklare kriminalitet."	"2017-05-26"
"33-3021.02"	"Police Identification and Records Officers"	"Åstedsgransker og dokumentasjonsansvarlig politi"	"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases."	"Samler bevis på åsteder, klassifiserer og finner fingeravtrykk og fotograferer bevis til bruke i kriminal- og sivilsaker."	"2017-05-26"
"33-3021.06"	"Intelligence Analysts"	"Etterretningsanalytiker"	"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism."	"Samler, analyserer eller evaluerer informasjon fra en rekke kilder, som juridiske databaser, overvåkning, etterretningsnettverk eller geografiske informasjonssystemer (GIS). Bruker etterretningsinformasjon til å foregripe og forebygge kriminelle handlinger, som terrorisme."	"2017-05-26"
"33-3031.00"	"Fish and Game Wardens"	"Fiskeforvalter og viltforvalter"	"Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data."	"Patruljerer tildelte områder for å forhindre brudd på fiske- og jaktlovgivning. Undersøker meldinger om skade på avlinger eller eiendom forårsaket av vilt. Samler biologiske data."	"2017-05-26"
"33-3041.00"	"Parking Enforcement Workers"	"Parkeringsvakt"	"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."	"Patruljerer tildelte områder, som offentlige parkeringsplasser eller bygater, for å skrive ut bøter for utløpte parkeringstillatelser og ulovlig parkerte kjøretøy."	"2017-05-26"
"33-3051.00"	"Police and Sheriff's Patrol Officers"	"Patruljepoliti"	"Maintain order and protect life and property by enforcing local, tribal, State, or Federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts."	"Opprettholder ro og orden og beskytter liv og eiendom ved å håndheve nasjonale og lokale lover og forskrifter. Gjør en kombinasjon av følgende: patruljerer et bestemt område; delegerer trafikken; skriver ut trafikkbøter; undersøker ulykker; pågriper og arresterer mistenkte, eller forkynner stevninger."	"2017-05-26"
"33-3051.04"	"Customs and Border Protection Officers"	"Tollbetjent og grensevakt"	"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations."		"2022-04-25"
"33-3052.00"	"Transit and Railroad Police"	"Transportpoliti og jernbanepoliti"	"Protect and police railroad and transit property, employees, or passengers."	"Beskytter og patruljerer jernbane- og transporteiendommer, ansatte eller passasjerer."	"2017-05-26"
"33-9011.00"	"Animal Control Workers"	"Skadedyrbekjemper"	"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."	"Tar hånd om dyr for å undersøke mishandling eller kontrollere forlatte, farlige eller eierløse dyr."	"2017-05-26"
"33-9021.00"	"Private Detectives and Investigators"	"Privatdetektiv og privatetterforsker"	"Gather, analyze, compile and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment."	"Innhenter, analyserer, samler og rapporterer informasjon om enkeltpersoner eller virksomheter til klienter, eller oppdager tilfeller av lovstridigheter eller regelbrudd i private virksomheter."	"2017-05-26"
"33-9031.00"	"Gambling Surveillance Officers and Gambling Investigators"	"Spillovervåker og spillkontrollør"	"Act as oversight and security agent for management and customers. Observe casino or casino hotel operation for irregular activities such as cheating or theft by either employees or patrons. May use one-way mirrors above the casino floor, cashier's cage, and from desk. Use of audio/video equipment is also common to observe operation of the business. Usually required to provide verbal and written reports of all violations and suspicious behavior to supervisor."	"Jobber som tilsynsvakt og sikkerhetsvakt for ledelse og kunder. Overvåker kasino- eller kasinohotelldrift for å oppdage uregelmessigheter som juks eller tyveri hos enten ansatte eller gjester. Kan bruke enveisspeil over kasinoområdet, kassaområdet og fra skrivebordet. Å bruke lyd-/videoutstyr er også vanlig for å følge med på virksomheten. Må ofte avgi muntlige og skriftlige rapporter om alle regelbrudd og mistenkelig oppførsel til overordnede."	"2017-05-26"
"33-9032.00"	"Security Guards"	"Sikkerhetsvakt"	"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment."	"Vokter, patruljerer eller overvåker lokaler for å forhindre tyveri, vold eller regelbrudd. Kan håndtere røntgen- og metalldetektorutstyr."	"2017-05-26"
"33-9091.00"	"Crossing Guards and Flaggers"	"Kryssevakt"	"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."	"Delegerer eller kontrollerer vei- og gangtrafikk på steder som gater, skoler, jernbaneoverganger og anleggsområder."	"2017-05-26"
"33-9092.00"	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	"Livvakter, skipatrulje og andre som jobber med sikkerhet ved rekreasjonsområder"	"Monitor recreational areas, such as pools, beaches, or ski slopes to provide assistance and protection to participants."	"Overvåker rekreasjonsområder, som badebasseng, strender eller skiløyper for å hjelpe og beskytte brukere."	"2017-05-26"
"33-9093.00"	"Transportation Security Screeners"	"Screener, transportsikkerhet"	"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints."	"Gjør screening av passasjerer, bagasje eller last for å se at regler for transportsikkerhet er fulgt. Kan betjene grunnleggende sikkerhetsutstyr som røntgenmaskiner og håndholdte detektorer ved screening-punkter."	"2017-05-26"
"33-9094.00"	"School Bus Monitors"	"(Skoleskyssadministrator)"	"Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations."		"2022-04-25"
"33-9099.00"	"Protective Service Workers, All Other"	"Arbeidere innen vektertjeneste, alle andre"	"All protective service workers not listed separately."	"Alle arbeidere innen vektertjeneste som ikke er ført opp separat."	"2017-05-26"
"33-9099.02"	"Retail Loss Prevention Specialists"	"Spesialist på varesikring"	"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets."	"Implementerer prosedyrer og systemer for å hindre tyveri av varer. Gjennomfører revisjon og gransking av ansattaktivitet. Kan bistå i å utarbeide retningslinjer, prosedyrer og systemer for å sikre verdier."	"2017-05-26"
"35-1011.00"	"Chefs and Head Cooks"	"Kjøkkensjef og sjefskokk"	"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts."	"Leder og kan ta del i forberedning, krydring og tilberedning av salater, supper, fisk, kjøtt, grønnsaker, desserter og annen mat. Kan planlegge og prissette menyvarer, bestille forsyninger og føre logg og regnskap."	"2017-05-26"
"35-1012.00"	"First-Line Supervisors of Food Preparation and Serving Workers"	"Førstelinjeleder innen matlaging og -servering"	"Directly supervise and coordinate activities of workers engaged in preparing and serving food."	"Er nærmeste leder for og samordner arbeidet for ansatte som jobber med å tilberede og servere mat."	"2017-05-26"
"35-2011.00"	"Cooks, Fast Food"	"Kokker, hurtigmat"	"Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment."	"Tilbereder og steker mat i en hurtigmatrestaurant med begrenset meny. Oppgavene til disse kokkene er begrenset til tilberedning av få grunnleggende varer og involverer vanligvis spesialmatlagingsutstyr til store mengder."	"2017-05-26"
"35-2012.00"	"Cooks, Institution and Cafeteria"	"Kokker, institusjoner og kantiner"	"Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."	"Tilbereder og lager store mengder mat for institusjoner, som skoler, sykehuset eller kafeteriaer."	"2017-05-26"
"35-2013.00"	"Cooks, Private Household"	"Kokk, privathusholdning"	"Prepare meals in private homes. Includes personal chefs."	"Tilbereder mat i private hjem. Inkluderer personlige kokker."	"2017-05-26"
"35-2014.00"	"Cooks, Restaurant"	"Kokk, restaurant"	"Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu."	"Tilbereder, krydrer og lager retter som supper, kjøttretter, grønnsaker eller desserter i restauranter. Kan bestille forsyninger, føre logg og regnskap, prissette menyvarer eller planlegge menyer."	"2017-05-26"
"35-2015.00"	"Cooks, Short Order"	"Kokk, hurtigmat"	"Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables."	"Tilbereder og lager på bestilling en rekke ulike retter som går raskt å tilberede. Kan ta bestillinger fra kunder og servere gjester over disk eller ved bord"	"2017-05-26"
"35-2019.00"	"Cooks, All Other"	"Kokk, alle andre"	"All cooks not listed separately."	"Alle kokker som ikke er ført opp separat."	"2017-05-26"
"35-2021.00"	"Food Preparation Workers"	"Ansatte innen matlaging"	"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."	"Utfører en rekke oppgaver innen matlaging annet enn selve tilberedningen, som å gjøre klar kald mat og skalldyr, skjære kjøtt og brygge kaffe eller te."	"2017-05-26"
"35-3011.00"	"Bartenders"	"Bartender"	"Mix and serve drinks to patrons, directly or through waitstaff."	"Mikser og serverer drinker til kunder, direkte eller via servitører."	"2017-05-26"
"35-3023.00"	"Fast Food and Counter Workers"	"Hurtigmatkokk"	"Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages."		"2022-04-25"
"35-3023.01"	"Baristas"	"Barista"	"Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons."		"2022-04-25"
"35-3031.00"	"Waiters and Waitresses"	"Servitør"	"Take orders and serve food and beverages to patrons at tables in dining establishment."	"Tar bestillinger og serverer mat og drikke til gjester ved border på spisesteder."	"2017-05-26"
"35-3041.00"	"Food Servers, Nonrestaurant"	"Matservitør utenom restauranter"	"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."	"Serverer mat til personer utenfor et restaurantmiljø, som på hotellrom, sykehus, pleieinstitusjoner eller til biler."	"2017-05-26"
"35-9011.00"	"Dining Room and Cafeteria Attendants and Bartender Helpers"	"Spisesal- og kafeteriavert og bartenderhjelp"	"Facilitate food service. Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."	"Tilrettelegger for mattjenester. Vasker bord, rydder unna skittent servise, skifter tilgrisede duker; dekker bord; fyller på beholdning med rene duker, bestikk, glass og servise; leverer mat til servicedisker; og serverer varer som vann, sauser og kaffe til gjester."	"2017-05-26"
"35-9021.00"	"Dishwashers"	"Oppvasker"	"Clean dishes, kitchen, food preparation equipment, or utensils."	"Vasker servise, kjøkken, kjøkkenapparater eller kjøkkenutstyr."	"2017-05-26"
"35-9031.00"	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	"Vert og vertinne, restaurant, vestibyle og kaffebar"	"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."	"Ønsker gjester velkommen, plasserer dem ved bord eller i baren og hjelper til med å se til at lokaler og service holder kvalitet."	"2017-05-26"
"35-9099.00"	"Food Preparation and Serving Related Workers, All Other"	"Ansatte innen matlaging og servering, alle andre"	"All food preparation and serving related workers not listed separately."	"Alle ansatte innen matlaging og servering som ikke er ført opp separat."	"2017-05-26"
"37-1011.00"	"First-Line Supervisors of Housekeeping and Janitorial Workers"	"Førstelinjeledere innen rengjøring og vaktmestertjenester."	"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."	"Er nærmeste leder for og samordner arbeidet for rengjøringspersonalet ved hoteller, sykehus, kontorer og andre virksomheter."	"2017-05-26"
"37-1012.00"	"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"	"Førstelinjeleder for anleggsgartnere, hagearbeidere og hageforvaltere."	"Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs."	"Er nærmeste leder for og samordner arbeidet for ansatte som driver med hageanlegging og hageforvaltning. Arbeidet kan omfatte gjennomgang av kontrakter for å forvisse seg om krav til service, maskineri og arbeidsstokk; svarer på henvendelser fra potensielle kunder om metoder, materialer og prisklasser; og utarbeider kostnadsestimater for arbeid, materialer og maskineri."	"2017-05-26"
"37-2011.00"	"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"	"Vaktmester og renholder, unntatt hushjelp og ansatte i rengjøringsbyrå"	"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."	"Holder bygninger rene og ryddige. Utfører tyngre vaskeoppgaver, som å vaske gulv, sjamponere tepper, vaske vegger og vinduer og fjerne søppel. Arbeidsoppgaver kan inkludere å se til fyringsanlegg og varmtvannsbereder, utføre rutinemessig vedlikehold, varsle ledelsen om behov for reparasjon og rydde snø eller skrot fra fortau."	"2017-05-26"
"37-2012.00"	"Maids and Housekeeping Cleaners"	"Hushjelp og renholder"	"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."	"Utfører alle typer lett rengjøring for å holde private hjem eller kommersielle virksomheter, som hoteller og sykehus, rene og ryddige. Oppgaver kan inkludere å re senger, etterfylle lintøy, rengjøre rom og ganger og støvsuge."	"2017-05-26"
"37-2019.00"	"Building Cleaning Workers, All Other"	"Ansatte innen renhold av bygg, alle andre"	"All building cleaning workers not listed separately."	"Alle ansatte innen renhold av bygg som ikke er ført opp separat."	"2017-05-26"
"37-2021.00"	"Pest Control Workers"	"Skadedyrbekjemper"	"Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas."	"Påfører eller slipper løs kjemiske løsninger eller giftige gasser og setter opp feller eller fjerner skadedyr og parasitter som har infisert bygninger og omliggende områder."	"2017-05-26"
"37-3011.00"	"Landscaping and Groundskeeping Workers"	"Anleggsgartner og oppsynsmann"	"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units."	"Anlegger eller vedlikeholder eiendommer ved å bruke hånd- eller elektroverktøy eller -utstyr. Arbeiderne utfører typisk en rekke oppgaver, som kan bestå av følgende: torvlegging, gressklipping, trimming, planting, vanning, gjødsling, graving, raking, installere sprinkler og sette på plass slaggbetongblokker uten mørtel i murvegger."	"2017-05-26"
"37-3012.00"	"Pesticide Handlers, Sprayers, and Applicators, Vegetation"	"Gassingsleder"	"Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification."	"Blander eller sprer plantevernmidler, ugressmidler, soppdrepere eller insektmidler med sprayer, støv, damp, jordinnblanding eller kjemikaliepåføring på trær, busker, plener eller planteavlinger. Krever som regel spesiell opplæring og offentlig autorisasjon."	"2017-05-26"
"37-3013.00"	"Tree Trimmers and Pruners"	"Beskjærer"	"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts."	"Bruker sofistikerte klatre- og riggeteknikker, kutter vekk døde eller overflødige greiner fra trær eller busker for å holde veier, fortau eller offentlige plasser åpne, eller for å forbedre treets utseende, helse og verdi. Beskjærer eller behandler trær og busker ved å bruke håndsag, hagesakser, hekkesakser og elektriske beskjæringsmaskiner. Jobber med trekronene fra bakken og kan bruke vognmonterte heiser."	"2017-05-26"
"37-3019.00"	"Grounds Maintenance Workers, All Other"	"Vedilkeholder av grøntområde, alle andre"	"All grounds maintenance workers not listed separately."	"Alle ansatte innen vedlikehold av grøntområder som ikke er ført opp separat."	"2017-05-26"
"39-1013.00"	"First-Line Supervisors of Gambling Services Workers"	"(Førstelinjeleder casinoer)"	"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos."		"2022-04-25"
"39-1014.00"	"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"	"(Veiledere for arbeidere i underholdningsbransjen)"	"Directly supervise and coordinate activities of entertainment and recreation related workers."		"2022-04-25"
"39-1022.00"	"First-Line Supervisors of Personal Service Workers"	"(Førstelinjeleder personlige service)"	"Supervise and coordinate activities of personal service workers."		"2022-04-25"
"39-2011.00"	"Animal Trainers"	"Dyretrener"	"Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities. Accustom animals to human voice and contact; and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team."	"Trener dyr til ridning, trekking, vakthold, forestilling eller lydighet, eller til å bistå funksjonshemmede. Venner dyr til menneskespråk og menneskelig kontakt; og lærer opp dyr til å svare på kommandoer. Trener dyr etter foreskrevne standarder til oppvisninger eller konkurranser. Kan trene opp dyr til å bære last eller jobbe som del av en flokk."	"2017-05-26"
"39-2021.00"	"Animal Caretakers"	"Dyrepleier, ikke gårdsdyr"	"Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks."	"Mater, gir vann til, steller, bader, trener eller på en annen måte pleier kjæledyr og ikke-gårdsdyr, som hunder, katter, akvariefisk eller fugler, dyrehagedyr og mus. Jobber på steder som kenneler, dyrehjem, dyrehager, sirkus og akvarier. Kan loggføre fôring, behandlinger og dyr som er mottatt og sendt ut. Kan rengjøre, desinfisere og reparere bur, binger eller akvarier."	"2017-05-26"
